,"PureLine Slim Surface & Suspended60mm/75mm WidthSuspended 60mm/75mm width aluminium extrudedlinear lighting luminaires with superior white powdercoated finish. Multiple options of light distribution,run lengths and lumen packages for differentapplication to choose from.TypeHSN CodeMRP (INR)SP780 P LED52S-6500 PSU W6L224 OD SI940524,000/-",Unnamed: 0,Unnamed: 1
0,Type,HSN Code,MRP (INR)
1,SP780 P LED52S-6500 PSU W6L224 OD SI,9405,"24,000/-"
2,SP780 P LED26S-6500 PSU W6L112 OD SI,9405,"12,000/-"
3,SP780P LED52S-6500 PSU W7L224 OD SI,9405,"25,000/-"
4,SP780 P LED33S-6500 PSU W7L112 OD SI,9405,"12,500/-"
5,SP780 X LED44S-6500 PSU W6L224 OD SI,9405,"23,000/-"
6,SP780 X LED52S-6500 PSU W6L224 OD SI,9405,"23,000/-"
7,SP780 X LED22S-6500 PSU W6L112 OD SI,9405,"12,000/-"
8,SP780 X LED26S-6500 PSU W6L112 OD SI,9405,"12,000/-"
9,SP780X LED11S-6500 PSU W6L56 OD SI,9405,"7,700/-"
10,SP780X LED46S-6500 PSU W7L224 OD SI,9405,"24,000/-"
11,SP780X LED52S-6500 PSU W7L224 OD SI,9405,"24,000/-"
12,SP780 X LED23S-6500 PSU W7L112 OD SI,9405,"12,000/-"
13,SP780 X LED26S-6500 PSU W7L112 OD SI,9405,"12,000/-"
14,SP781 P LED66S-6500 PSU W6L224 OD SI,9405,"29,000/-"
15,SP781 P LED33S-6500 PSU W6L112 OD SI,9405,"15,000/-"
16,SP781 X LED23S-6500 PSU W7L112 OD SI,9405,"14,000/-"
17,SP781 X LED27S-6500 PSU W7L112 OD SI,9405,"14,500/-"
18,SP781X LED46S-6500 PSU W7L224 OD SI,9405,"30,000/-"
19,SP781X LED54S-6500 PSU W7L224 OD SI,9405,"30,000/-"
20,SP781 X LED44S-6500 PSU W6L224 OD SI,9405,"29,000/-"
21,SP781 X LED54S-6500 PSU W6L224 OD SI,9405,"29,000/-"
22,SP781 X LED22S-6500 PSU W6L112 OD SI,9405,"14,500/-"
23,SP781 X LED27S-6500 PSU W6L112 OD SI,9405,"14,500/-"
24,End Plate SP780 EP60 GREY,9405,275/-
25,End Plate SP780 EP75 GREY,9405,275/-
26,ZPH780 N1000,9405,400/-
27,ZPH780 N1500,9405,450/-
28,ZPH780 N2000,9405,500/-
29,ZPH780 1MTR 3C 0.75sq mm Transparent cable,9405,300/-
30,ZPH780 1MTR 5C 0.75sq mm Transparent cable,9405,450/-
